ticker,entry_date,filter,entry_price,price_change_pct,sentiment_score,exit_date,exit_type,exit_price,pnl_pct,outcome
AAPL,2026-02-27,price_only,264.18,-3.21,,2026-03-06,stop,256.2546,-3.0,LOSS
AAPL,2026-03-13,price_only,250.12,-2.21,,2026-04-06,time_stop,258.86,3.49,WIN
AAPL,2026-04-07,price_only,253.5,-2.07,,2026-04-15,target,266.175,5.0,WIN
AAPL,2026-04-21,price_only,266.17,-2.52,,,open,,,OPEN
NVDA,2026-02-27,price_only,177.1804,-4.16,,2026-03-10,target,186.0394,5.0,WIN
NVDA,2026-03-06,price_only,177.8104,-3.01,,2026-03-11,target,186.7009,5.0,WIN
NVDA,2026-03-20,price_only,172.7,-3.28,,2026-03-27,stop,167.519,-3.0,LOSS
NVDA,2026-03-26,price_only,171.24,-4.16,,2026-03-30,stop,166.1028,-3.0,LOSS
NVDA,2026-03-27,price_only,167.52,-2.17,,2026-04-01,target,175.896,5.0,WIN
TSLA,2026-03-03,price_only,392.43,-2.7,,2026-03-11,target,412.0515,5.0,WIN
TSLA,2026-03-06,price_only,396.73,-2.17,,2026-03-09,stop,384.8281,-3.0,LOSS
TSLA,2026-03-12,price_only,395.01,-3.14,,2026-03-19,stop,383.1597,-3.0,LOSS
TSLA,2026-03-19,price_only,380.3,-3.18,,2026-03-20,stop,368.891,-3.0,LOSS
TSLA,2026-03-20,price_only,367.96,-3.24,,2026-03-24,target,386.358,5.0,WIN
TSLA,2026-03-26,price_only,372.11,-3.59,,2026-03-27,stop,360.9467,-3.0,LOSS
TSLA,2026-03-27,price_only,361.83,-2.76,,2026-04-01,target,379.9215,5.0,WIN
TSLA,2026-04-02,price_only,360.59,-5.42,,2026-04-06,stop,349.7723,-3.0,LOSS
TSLA,2026-04-06,price_only,352.82,-2.15,,2026-04-07,stop,342.2354,-3.0,LOSS
TSLA,2026-04-20,price_only,392.5,-2.03,,2026-04-23,stop,380.725,-3.0,LOSS
TSLA,2026-04-23,price_only,373.72,-3.56,,,open,,,OPEN
MSFT,2026-02-27,price_only,392.74,-2.24,,2026-03-06,target,412.377,5.0,WIN
MSFT,2026-03-24,price_only,372.74,-2.68,,2026-03-27,stop,361.5578,-3.0,LOSS
MSFT,2026-03-27,price_only,356.77,-2.51,,2026-04-08,target,374.6085,5.0,WIN
MSFT,2026-04-23,price_only,415.75,-3.97,,,open,,,OPEN
AMZN,2026-03-06,price_only,213.21,-2.62,,2026-03-13,stop,206.8137,-3.0,LOSS
AMZN,2026-03-18,price_only,209.87,-2.48,,2026-03-27,stop,203.5739,-3.0,LOSS
AMZN,2026-03-27,price_only,199.34,-3.95,,2026-03-31,target,209.307,5.0,WIN
NVDA,2026-02-27,price+sentiment,177.1804,-4.16,0.65,2026-03-10,target,186.0394,5.0,WIN
NVDA,2026-03-06,price+sentiment,177.8104,-3.01,0.65,2026-03-11,target,186.7009,5.0,WIN
NVDA,2026-03-20,price+sentiment,172.7,-3.28,0.65,2026-03-27,stop,167.519,-3.0,LOSS
NVDA,2026-03-26,price+sentiment,171.24,-4.16,0.65,2026-03-30,stop,166.1028,-3.0,LOSS
NVDA,2026-03-27,price+sentiment,167.52,-2.17,0.65,2026-04-01,target,175.896,5.0,WIN
